q0_0, q0_1, q0_2, q0_3, q0_4, q0_5, q0_6, q1_0, q1_1, q1_2, q1_3, q1_4, q1_5, q1_6, x, x_prec, y, y_prec, z, z_prec
0.195002, 0.352845, 0.128589, 0.404364, 0.231794, 0.507214, 0, 0.268085, 0.341477, 0.128589, 0.404364, 0.254531, 0.507214, 0, 0.00104208, 0.0162879, 0.00959727, 0.0162879, 0.00343894, 0.0162879
0.630791, 0.330629, 0.128589, 0.404364, 0.276227, 0.507214, 0, 0.329827, 0.283813, 0.128589, 0.404364, 0.36986, 0.507214, 0, -0.00236148, 0.0278508, 0.395027, 0.0278508, -0.00513453, 0.0278508
0.944693, 0.379458, 0.128589, 0.404364, 0.178568, 0.507214, 0, 0.620549, 0.329036, 0.128589, 0.404364, 0.279413, 0.507214, 0, -0.00577713, 0.0161733, 0.00109071, 0.0161733, 0.00427797, 0.0161733
0.339534, 0.330363, 0.128589, 0.404364, 0.27676, 0.507214, 0, 0.361049, 0.327016, 0.128589, 0.404364, 0.283453, 0.507214, 0, 0.00526514, 0.01625, -0.00833449, 0.01625, 0.000895251, 0.01625
0.139497, 0.36148, 0.128589, 0.404364, 0.214526, 0.507214, 0, 0.788917, 0.260459, 0.128589, 0.404364, 0.416568, 0.507214, 0, -0.0303109, 0.0345108, -0.617028, 0.0345108, -0.191961, 0.0345108
0.244097, 0.345208, 0.128589, 0.404364, 0.247068, 0.507214, 0, 0.55032, 0.297574, 0.128589, 0.404364, 0.342338, 0.507214, 0, -0.00774386, 0.0214932, -0.183107, 0.0214932, 0.00339937, 0.0214932
0.61865, 0.328741, 0.128589, 0.404364, 0.280004, 0.507214, 0, 0.504139, 0.310928, 0.128589, 0.404364, 0.31563, 0.507214, 0, -0.00625212, 0.0184761, 0.0825368, 0.0184761, 0.00459575, 0.0184761
0.141882, 0.361108, 0.128589, 0.404364, 0.215268, 0.507214, 0, 0.580949, 0.292809, 0.128589, 0.404364, 0.351867, 0.507214, 0, 0.00534733, 0.0227782, -0.225939, 0.0227782, -0.00561766, 0.0227782
0.244268, 0.345182, 0.128589, 0.404364, 0.247121, 0.507214, 0, 0.61992, 0.286747, 0.128589, 0.404364, 0.363991, 0.507214, 0, -0.00402779, 0.0250841, -0.302803, 0.0250841, 0.0064079, 0.0250841
0.733765, 0.346647, 0.128589, 0.404364, 0.24419, 0.507214, 0, 0.601554, 0.326081, 0.128589, 0.404364, 0.285323, 0.507214, 0, 0.00697227, 0.0162092, -0.00622718, 0.0162092, -0.0060855, 0.0162092
0.751977, 0.34948, 0.128589, 0.404364, 0.238524, 0.507214, 0, 0.18871, 0.261861, 0.128589, 0.404364, 0.413763, 0.507214, 0, -0.0130375, 0.0298903, 0.463009, 0.0298903, 0.00780714, 0.0298903
0.966225, 0.382808, 0.128589, 0.404364, 0.17187, 0.507214, 0, 0.453711, 0.303083, 0.128589, 0.404364, 0.331318, 0.507214, 0, -0.00264033, 0.0207913, 0.159712, 0.0207913, 0.00853554, 0.0207913
0.234288, 0.346734, 0.128589, 0.404364, 0.244016, 0.507214, 0, 0.492425, 0.30658, 0.128589, 0.404364, 0.324326, 0.507214, 0, 0.00225869, 0.0184444, -0.0814812, 0.0184444, -0.0082721, 0.0184444
0.790172, 0.355422, 0.128589, 0.404364, 0.226641, 0.507214, 0, 0.599929, 0.325828, 0.128589, 0.404364, 0.285828, 0.507214, 0, 0.0041367, 0.0162495, 0.00831634, 0.0162495, 0.00239819, 0.0162495
0.0311367, 0.378336, 0.128589, 0.404364, 0.180814, 0.507214, 0, 0.687501, 0.276234, 0.128589, 0.404364, 0.385016, 0.507214, 0, -0.022074, 0.0286852, -0.422838, 0.0286852, -0.00337542, 0.0286852
